"74","CRF705/01","BMC CRF Complete Airbox","4400","8800","CRF - CARBON RACING FILTERS - CARS",\N,"","","","","","","/cgi-bin/images/product/crf705_01_kit1.JPG","/cgi-bin/images/product/crf705_01_kit2.JPG","Y","no comments"
"75","CRF706/01","BMC CRF Half Airbox","2800","5600","CRF - CARBON RACING FILTERS - CARS",\N,"","","","","","","/cgi-bin/images/product/crf706_01_small.jpg","/cgi-bin/images/product/crf614_01_2_small.JPG","Y","no comments"
"76","CRF708/01","BMC CRF Intake System","3000","6000","CRF - CARBON RACING FILTERS - CARS",\N,"","","","","","","/cgi-bin/images/product/crf644_01_b.JPG","/cgi-bin/images/pages/vdat_small.png","Y","no comments"
"77","CRF721/01","BMC CRF Intake System","3000","6000","CRF - CARBON RACING FILTERS - CARS",\N,"","","","","","","/cgi-bin/images/product/crf644_01_b.JPG","/cgi-bin/images/pages/vdat_small.png","Y","no comments"
"78","CRF722/01","BMC CRF Intake System","1350","2700","CRF - CARBON RACING FILTERS - CARS",\N,"","","","","","","/cgi-bin/images/product/crf722_01_small.JPG","/cgi-bin/images/product/crf722_01_small2.JPG","Y","no comments"
"79","CRF726/01","BMC CRF Replacement filter","740","1480","CRF - CARBON RACING FILTERS - CARS",\N,"B (mm)","293","A (mm)","206","","","/cgi-bin/images/product/crf726_01_small.jpg","/cgi-bin/images/product/crf726_01_detail_small.jpg","Y","no comments"
"80","CSAN-3157-P01","BMC AIR FILTER 335X235X19","250","500",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"N","Not Available"
"81","FB100/01","BMC AIR FILTER  HONDA, HYUNDAI, PEUGEOT.","46.36","99","CAR FILTERS",\N,"B (mm)","167","A (mm)","245","","","/cgi-bin/Images/Product/100.jpg","/cgi-bin/Images/Product/RETT PICCOLO.JPG","Y","no comments"
"82","FB101/01","BMC AIR FILTER 177x254 FORD","52.6","109","CAR FILTERS",\N,"B (mm)","177","A (mm)","254","","","/cgi-bin/Images/Product/101.jpg","/cgi-bin/Images/Product/RETT PICCOLO.JPG","Y","no comments"
"83","FB102/01","BMC AIR FILTER 213x254 AUDI.BMW.HOLD","48","99","CAR FILTERS",\N,"B (mm)","213","A (mm)","254","","","/cgi-bin/Images/Product/102.jpg","/cgi-bin/Images/Product/RETT PICCOLO.JPG","Y","no comments"
"84","FB103/01","BMC AIR FILTER 190x335 MERC","67.19","119","CAR FILTERS",\N,"B (mm)","190","A (mm)","335","","","/cgi-bin/Images/Product/103.jpg","/cgi-bin/Images/Product/RETT PICCOLO.JPG","Y","no comments"
"85","FB104/01","BMC AIR FILTER 212x216 JAGUAR XJ / VW POLO","67.19","119",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"N","No Australian application"
"86","FB106/01","BMC AIR FILTER HOLDEN TOYOTA","55","99","CAR FILTERS",\N,"B (mm)","230","A (mm)","308","","","/cgi-bin/Images/Product/106.jpg","/cgi-bin/Images/Product/RETT PICCOLO.JPG","Y","no comments"
"87","FB107/01","BMC AIR FILTER 190x200 HONDA - VARIOUS","67.19","129","CAR FILTERS",\N,"B (mm)","190","A (mm)","200","","","/cgi-bin/Images/Product/107.jpg","/cgi-bin/Images/Product/RETT PICCOLO.JPG","Y","no comments"
"88","FB108/01","BMC AIR FILTER 164x206 HOLDEN BARINA","61.8","109","CAR FILTERS",\N,"B (mm)","164","A (mm)","206","","","/cgi-bin/Images/Product/108.jpg","/cgi-bin/Images/Product/RETT PICCOLO.JPG","Y","no comments"
"89","FB109/03","BMC AIR FILTER 180x249 ALFA ROMEO 155","67.19","119","CAR FILTERS",\N,"B (mm)","249","A (mm)","180","","","/cgi-bin/Images/Product/109.jpg","/cgi-bin/Images/Product/RETT PICCOLO.JPG","Y","no comments"
"90","FB110/03","BMC AIR FILTER 168x300 ALFA ROMEO - VARIOUS","67.19","119","CAR FILTERS",\N,"B (mm)","168","A (mm)","300","","","/cgi-bin/Images/Product/110.jpg","/cgi-bin/Images/Product/RETT PICCOLO.JPG","Y","no comments"
"91","FB112/01","BMC AIR FILTER 182x307 AUDI.VW.JAG","67.19","119","CAR FILTERS",\N,"B (mm)","182","A (mm)","307","","","/cgi-bin/Images/Product/112.jpg","/cgi-bin/Images/Product/RETT PICCOLO.JPG","Y","no comments"
"92","FB113/01","BMC AIR FILTER 234 X 86 FIAT","67","119","CAR FILTERS",\N,"B (mm)","86","A (mm)","234","","","/cgi-bin/Images/Product/113.jpg","/cgi-bin/Images/Product/RETT PICCOLO.JPG","Y","no comments"
